district_id,state_id,district_name,session_date,total,planned,ongoing,completed
582,32,Adilabad,2021-04-26,30,3,11,16
582,32,Adilabad,2021-04-27,30,2,10,18
582,32,Adilabad,2021-04-28,30,5,11,14
582,32,Adilabad,2021-04-29,30,3,7,20
582,32,Adilabad,2021-04-30,30,5,8,17
582,32,Adilabad,2021-05-01,1,1,0,0
582,32,Adilabad,2021-05-02,0,0,0,0
582,32,Adilabad,2021-05-03,30,5,16,9
582,32,Adilabad,2021-05-04,30,3,9,18
582,32,Adilabad,2021-05-05,30,4,14,12
582,32,Adilabad,2021-05-06,30,4,12,14
582,32,Adilabad,2021-05-07,24,1,7,16
582,32,Adilabad,2021-05-08,25,0,13,12
582,32,Adilabad,2021-05-09,7,7,0,0
582,32,Adilabad,2021-05-10,28,2,11,15
582,32,Adilabad,2021-05-11,30,6,10,14
582,32,Adilabad,2021-05-12,30,8,7,15
582,32,Adilabad,2021-05-13,30,8,9,13
582,32,Adilabad,2021-05-14,30,13,7,10
582,32,Adilabad,2021-05-15,29,27,1,1
582,32,Adilabad,2021-05-16,0,0,0,0
582,32,Adilabad,2021-05-17,0,0,0,0
582,32,Adilabad,2021-05-18,0,0,0,0
582,32,Adilabad,2021-05-19,0,0,0,0
582,32,Adilabad,2021-05-20,0,0,0,0
582,32,Adilabad,2021-05-21,0,0,0,0
582,32,Adilabad,2021-05-22,0,0,0,0
582,32,Adilabad,2021-05-23,0,0,0,0
582,32,Adilabad,2021-05-24,0,0,0,0
582,32,Adilabad,2021-05-25,16,8,6,2
320,20,Agar,2021-04-26,14,1,7,6
320,20,Agar,2021-04-27,1,0,1,0
320,20,Agar,2021-04-28,13,1,6,6
320,20,Agar,2021-04-29,0,0,0,0
320,20,Agar,2021-04-30,0,0,0,0
320,20,Agar,2021-05-01,6,1,4,1
320,20,Agar,2021-05-02,0,0,0,0
320,20,Agar,2021-05-03,3,0,2,1
320,20,Agar,2021-05-04,0,0,0,0
320,20,Agar,2021-05-05,12,0,5,7
320,20,Agar,2021-05-06,11,1,5,5
320,20,Agar,2021-05-07,0,0,0,0
320,20,Agar,2021-05-08,9,0,2,7
320,20,Agar,2021-05-09,0,0,0,0
320,20,Agar,2021-05-10,1,0,1,0
320,20,Agar,2021-05-11,0,0,0,0
320,20,Agar,2021-05-12,14,0,4,10
320,20,Agar,2021-05-13,3,0,3,0
320,20,Agar,2021-05-15,2,0,2,0
320,20,Agar,2021-05-16,4,4,0,0
320,20,Agar,2021-05-17,7,0,4,3
320,20,Agar,2021-05-18,1,0,1,0
320,20,Agar,2021-05-19,17,0,8,9
320,20,Agar,2021-05-20,7,1,2,4
320,20,Agar,2021-05-21,18,1,8,9
320,20,Agar,2021-05-22,6,0,4,2
320,20,Agar,2021-05-23,12,0,10,2
320,20,Agar,2021-05-24,11,0,5,6
320,20,Agar,2021-05-25,1,0,1,0
622,34,Agra,2021-04-26,206,148,29,29
622,34,Agra,2021-04-27,173,155,9,9
622,34,Agra,2021-04-28,184,72,45,67
622,34,Agra,2021-04-29,195,81,39,75
622,34,Agra,2021-04-30,187,106,26,55
622,34,Agra,2021-05-01,128,55,29,44
622,34,Agra,2021-05-02,7,7,0,0
622,34,Agra,2021-05-03,128,50,44,34
622,34,Agra,2021-05-04,122,40,26,56
622,34,Agra,2021-05-05,117,50,21,46
622,34,Agra,2021-05-06,60,38,8,14
622,34,Agra,2021-05-07,122,64,19,39
622,34,Agra,2021-05-08,120,79,17,24
622,34,Agra,2021-05-09,71,71,0,0
622,34,Agra,2021-05-10,54,10,15,29
622,34,Agra,2021-05-11,80,2,23,55
622,34,Agra,2021-05-12,81,0,28,53
622,34,Agra,2021-05-13,82,2,18,62
622,34,Agra,2021-05-14,51,1,17,33
622,34,Agra,2021-05-15,81,0,15,66
622,34,Agra,2021-05-16,0,0,0,0
622,34,Agra,2021-05-17,97,1,35,61
622,34,Agra,2021-05-18,96,1,29,66
622,34,Agra,2021-05-19,95,3,32,60
622,34,Agra,2021-05-20,137,24,42,71
622,34,Agra,2021-05-21,137,23,39,75
622,34,Agra,2021-05-22,136,28,40,68
622,34,Agra,2021-05-23,0,0,0,0
622,34,Agra,2021-05-24,109,0,28,81
622,34,Agra,2021-05-25,78,0,23,55
154,11,Ahmedabad,2021-04-26,115,14,30,71
154,11,Ahmedabad,2021-04-27,98,9,37,52
154,11,Ahmedabad,2021-04-28,111,6,39,66
154,11,Ahmedabad,2021-04-29,107,15,40,52
154,11,Ahmedabad,2021-04-30,94,23,30,41
154,11,Ahmedabad,2021-05-01,71,35,13,23
154,11,Ahmedabad,2021-05-02,72,26,12,34
154,11,Ahmedabad,2021-05-03,74,30,23,21
154,11,Ahmedabad,2021-05-04,90,31,29,30
154,11,Ahmedabad,2021-05-05,97,21,38,38
154,11,Ahmedabad,2021-05-06,95,23,31,41
154,11,Ahmedabad,2021-05-07,112,17,7,88
154,11,Ahmedabad,2021-05-08,84,18,10,56
154,11,Ahmedabad,2021-05-09,78,9,15,54
154,11,Ahmedabad,2021-05-10,79,1,15,63
154,11,Ahmedabad,2021-05-11,101,3,19,79
154,11,Ahmedabad,2021-05-12,85,6,13,66
154,11,Ahmedabad,2021-05-13,96,5,10,81
154,11,Ahmedabad,2021-05-14,0,0,0,0
154,11,Ahmedabad,2021-05-15,0,0,0,0
154,11,Ahmedabad,2021-05-16,0,0,0,0
154,11,Ahmedabad,2021-05-17,0,0,0,0
154,11,Ahmedabad,2021-05-18,0,0,0,0
154,11,Ahmedabad,2021-05-19,2,2,0,0
154,11,Ahmedabad,2021-05-20,21,3,3,15
154,11,Ahmedabad,2021-05-21,21,2,0,19
154,11,Ahmedabad,2021-05-22,19,1,0,18
154,11,Ahmedabad,2021-05-23,20,0,2,18
154,11,Ahmedabad,2021-05-24,23,0,1,22
154,11,Ahmedabad,2021-05-25,21,1,2,18
770,11,Ahmedabad Corporation,2021-04-26,200,6,78,116
770,11,Ahmedabad Corporation,2021-04-27,211,8,72,131
770,11,Ahmedabad Corporation,2021-04-28,212,12,70,130
770,11,Ahmedabad Corporation,2021-04-29,207,4,70,133
770,11,Ahmedabad Corporation,2021-04-30,204,13,60,131
770,11,Ahmedabad Corporation,2021-05-01,192,13,67,112
770,11,Ahmedabad Corporation,2021-05-02,161,2,57,102
770,11,Ahmedabad Corporation,2021-05-03,175,2,84,89
770,11,Ahmedabad Corporation,2021-05-04,99,18,32,49
770,11,Ahmedabad Corporation,2021-05-05,172,0,67,105
770,11,Ahmedabad Corporation,2021-05-06,174,0,66,108
770,11,Ahmedabad Corporation,2021-05-07,159,1,52,106
770,11,Ahmedabad Corporation,2021-05-08,156,0,44,112
