district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_30_vaccination,30_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
582,32,Adilabad,37,37,0,8300,8300,0,50321,26309,24004,8,,,27203,16545,56310,7984,50321,13973,2
320,20,Agar,7,7,0,760,760,0,49495,27310,22178,7,,,20500,18488,57960,917,49495,9382,5
622,34,Agra,249,245,4,31580,31180,400,350191,207083,143044,64,,,132604,106483,400344,35588,350191,85741,45
154,11,Ahmedabad,78,77,1,9570,9470,100,370543,199031,171451,61,,,195694,148928,405803,46751,370543,82011,23
770,11,Ahmedabad Corporation,216,211,5,50770,49810,960,1294982,717454,577406,122,,,459131,355840,1632948,63683,1294982,401649,88
391,21,Ahmednagar,49,43,6,5985,5385,600,500181,278197,221936,48,,,208002,211249,530876,105081,500181,135776,7
425,24,Aizawl East,12,11,1,2839,2739,100,71341,36905,34434,2,,,33170,21430,84398,0,71341,13057,35
426,24,Aizawl West,7,6,1,1220,1120,100,46607,22216,24388,3,,,24525,13902,54329,0,46607,7722,11
507,29,Ajmer,114,108,6,17180,16580,600,581269,291798,289386,85,,,241792,232343,659879,73232,581269,151842,14
364,21,Akola,17,11,6,1772,1172,600,227791,123581,104179,31,,,100803,92666,234202,54284,227791,60695,1
301,17,Alappuzha,39,38,1,5936,5836,100,461988,205078,256855,55,,,171159,249112,550281,53318,461988,141611,134
623,34,Aligarh,88,88,0,21990,21990,0,249615,143934,105639,42,,,92808,74657,253526,58374,249615,62285,23
710,36,Alipurduar District,38,37,1,10370,10270,100,173371,97220,76122,29,,,74162,64212,197003,41299,173371,64931,18
357,20,Alirajpur,12,12,0,1970,1970,0,57011,28454,28549,8,,,28219,16383,64209,3365,57011,10563,1
704,35,Almora,32,32,0,3900,3900,0,146981,67950,79007,24,,,59118,63775,183979,6739,146981,43737,8
