district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
582,32,Adilabad,16,16,0,9000,9000,0,54430,29276,25146,8,9925,27802,16699,60243,10337,54430,16150,2
320,20,Agar,22,22,0,3560,3560,0,67713,38728,28972,13,26269,22352,19030,73542,3811,67713,9640,5
622,34,Agra,172,171,1,20990,20330,660,466396,277055,189228,113,196906,154973,114370,509863,45189,466396,88656,46
154,11,Ahmedabad,58,54,4,11932,10380,1552,409409,224590,184752,67,52090,205164,152103,447559,54511,409409,92661,23
770,11,Ahmedabad Corporation,229,210,19,51920,44515,7405,1755174,982952,772005,217,875161,507290,372330,2097755,65666,1755174,408247,94
391,21,Ahmednagar,52,51,1,6628,6348,280,570888,314294,256538,56,89853,242664,238134,600976,123032,570888,153120,7
425,24,Aizawl East,3,3,0,905,905,0,76794,39720,37072,2,21503,33698,21585,89936,0,76794,13142,35
426,24,Aizawl West,2,2,0,740,740,0,52090,24641,27445,4,13075,24974,14037,59826,0,52090,7736,11
507,29,Ajmer,102,102,0,20800,20800,0,622621,313375,309148,98,119289,264762,238429,683141,103541,622621,164061,14
364,21,Akola,63,62,1,6436,6136,300,261080,139621,121419,40,36413,119895,104624,267246,63431,261080,69597,1
301,17,Alappuzha,68,67,1,9571,9561,10,543394,251760,291555,79,68279,202695,272223,625929,63316,543394,145851,134
623,34,Aligarh,82,82,0,13399,13399,0,332184,195425,136675,84,151338,102398,78369,332022,66231,332184,66069,24
710,36,Alipurduar District,26,26,0,10905,10905,0,221825,127804,93978,43,58863,88511,74433,243544,44045,221825,65764,19
357,20,Alirajpur,43,43,0,7800,7800,0,67159,34427,32723,9,21841,28777,16527,72987,5261,67159,11089,1
704,35,Almora,50,50,0,7915,7915,0,163843,75989,87822,32,29520,66148,68156,193757,14681,163843,44595,8
512,29,Alwar,193,192,1,19465,19365,100,915634,484112,431379,143,176605,391444,347413,1054783,59262,915634,198411,26
193,12,Ambala,45,45,0,25649,25649,0,344228,183234,160915,79,122897,125021,96020,355603,82494,344228,93869,28
625,34,Ambedkar Nagar,63,63,0,13070,13070,0,130056,75490,54543,23,22598,62728,44656,141156,22808,130056,33908,3
626,34,Amethi,76,76,0,15550,15550,0,150581,80976,69576,29,16596,76147,57786,155650,33538,150581,38607,0
366,21,Amravati,63,63,0,13570,13570,0,389190,208987,180157,46,60584,169072,159374,402919,107348,389190,121077,245
174,11,Amreli,38,38,0,7960,7960,0,271191,137772,133386,33,29986,117163,123995,250298,124748,271191,103855,5
485,28,Amritsar,142,139,3,26730,25430,1300,316142,176362,139752,28,75728,133697,106662,349871,39405,316142,73134,35
627,34,Amroha,76,76,0,21100,21100,0,115322,65203,50102,17,16351,56029,42910,120435,22654,115322,27767,7
179,11,Anand,61,61,0,13045,13045,0,449102,226203,222848,51,61409,210663,176976,540888,59710,449102,151496,8
9,2,Anantapur,32,32,0,3800,3800,0,629600,320233,309123,244,74553,317755,237232,718556,105926,629600,194882,13
224,14,Anantnag,117,117,0,49972,49972,0,204653,120309,84308,36,39517,101511,63608,228053,0,204653,23400,3
445,26,Angul,30,30,0,20140,20140,0,150078,88520,61540,18,13866,82807,53391,179484,0,150078,29406,2
22,3,Anjaw,2,2,0,200,200,0,3980,2133,1847,0,1495,1811,671,5232,0,3980,1252,4
334,20,Anuppur,34,34,0,3446,3446,0,88081,48285,39781,15,29625,34890,23559,85545,12731,88081,10195,8
