label,startdate,enddate,total,age18,age45,age60,male,female,others
28 Nov-04 Dec,28-11-2020,04-12-2020,165626,112835,48996,3795,44393,121203,30
05 Dec-11 Dec,05-12-2020,11-12-2020,1584788,1109789,439815,35184,439484,1145105,199
12 Dec-18 Dec,12-12-2020,18-12-2020,1344437,961440,343613,39384,499568,844691,178
19 Dec-25 Dec,19-12-2020,25-12-2020,300403,213509,76202,10692,129410,170935,58
26 Dec-01 Jan,26-12-2020,01-01-2021,339859,212546,111738,15575,117849,221955,55
02 Jan-08 Jan,02-01-2021,08-01-2021,667052,441592,212632,12828,464810,202179,63
09 Jan-15 Jan,09-01-2021,15-01-2021,2033412,1409445,599765,24202,1682112,351224,76
16 Jan-22 Jan,16-01-2021,22-01-2021,990743,678633,291103,21007,689339,301234,170
23 Jan-29 Jan,23-01-2021,29-01-2021,1418899,1004512,366549,47838,748271,670467,161
30 Jan-05 Feb,30-01-2021,05-02-2021,1447893,1006405,395058,46430,716995,730641,257
06 Feb-12 Feb,06-02-2021,12-02-2021,2019940,1378742,586642,54556,1322598,696863,479
13 Feb-19 Feb,13-02-2021,19-02-2021,2188618,1448119,695325,45174,1564359,624152,107
20 Feb-26 Feb,20-02-2021,26-02-2021,3138280,2084413,985178,68689,2067920,1069637,723
27 Feb-05 Mar,27-02-2021,05-03-2021,5466228,584717,949976,3931535,3069186,2396244,798
06 Mar-12 Mar,06-03-2021,12-03-2021,7988277,813344,1604939,5569994,4259362,3727739,1176
13 Mar-19 Mar,13-03-2021,19-03-2021,12322858,948825,2790114,8583919,6457725,5863462,1671
20 Mar-26 Mar,20-03-2021,26-03-2021,14832910,990512,4023948,9818450,7551641,7279389,1880
27 Mar-02 Apr,27-03-2021,02-04-2021,13676022,947364,6633433,6095225,6965831,6708371,1820
03 Apr-09 Apr,03-04-2021,09-04-2021,23818505,338915,15526696,7952894,12019770,11795380,3355
10 Apr-16 Apr,10-04-2021,16-04-2021,18723612,467299,11897970,6358343,9669558,9051054,3000
17 Apr-23 Apr,17-04-2021,23-04-2021,13013915,656223,7943693,4413999,6847541,6164030,2344
24 Apr-30 Apr,24-04-2021,30-04-2021,34728217,22430664,8190944,4106609,19971803,14746804,9610
01 May-07 May,01-05-2021,07-05-2021,22867592,15691687,4873514,2302391,12828949,10030443,8200
08 May-14 May,08-05-2021,14-05-2021,20340845,13964943,4287267,2088635,11353198,8979540,8107
15 May-21 May,15-05-2021,21-05-2021,16688527,11691764,3558926,1437837,9341774,7339591,7162
22 May-28 May,22-05-2021,28-05-2021,10092700,6764869,2386562,941269,5736625,4352286,3789
