label,startdate,enddate,district_id,state_id,district_name,total,18_45_vaccination,45_60_vaccination,60+_vaccination,dose1,dose2
16 Jan-22 Jan,16-01-2021,22-01-2021,582,32,Adilabad,2822,1922,778,122,2822,0
23 Jan-29 Jan,23-01-2021,29-01-2021,582,32,Adilabad,405,315,61,29,405,0
30 Jan-05 Feb,30-01-2021,05-02-2021,582,32,Adilabad,166,153,12,1,166,0
06 Feb-12 Feb,06-02-2021,12-02-2021,582,32,Adilabad,1568,1111,450,7,1568,0
13 Feb-19 Feb,13-02-2021,19-02-2021,582,32,Adilabad,1709,1183,473,53,44,1665
20 Feb-26 Feb,20-02-2021,26-02-2021,582,32,Adilabad,506,414,67,25,190,316
27 Feb-05 Mar,27-02-2021,05-03-2021,582,32,Adilabad,561,181,147,233,438,123
06 Mar-12 Mar,06-03-2021,12-03-2021,582,32,Adilabad,2103,774,798,531,1140,963
13 Mar-19 Mar,13-03-2021,19-03-2021,582,32,Adilabad,2032,309,879,844,1746,286
20 Mar-26 Mar,20-03-2021,26-03-2021,582,32,Adilabad,2471,266,1048,1157,2398,73
27 Mar-02 Apr,27-03-2021,02-04-2021,582,32,Adilabad,2968,320,1423,1225,2722,246
03 Apr-09 Apr,03-04-2021,09-04-2021,582,32,Adilabad,6053,215,3422,2416,5548,505
10 Apr-16 Apr,10-04-2021,16-04-2021,582,32,Adilabad,12664,1070,7148,4446,11603,1061
17 Apr-23 Apr,17-04-2021,23-04-2021,582,32,Adilabad,8830,429,5309,3092,7695,1135
24 Apr-30 Apr,24-04-2021,30-04-2021,582,32,Adilabad,9005,462,5726,2817,7435,1570
01 May-07 May,01-05-2021,07-05-2021,582,32,Adilabad,3444,222,2146,1076,1643,1801
08 May-14 May,08-05-2021,14-05-2021,582,32,Adilabad,3530,257,1931,1342,66,3464
22 May-28 May,22-05-2021,28-05-2021,582,32,Adilabad,2385,618,1285,482,516,1869
29 May-04 Jun,29-05-2021,04-06-2021,582,32,Adilabad,2176,1183,726,267,1277,899
05 Jun-11 Jun,05-06-2021,11-06-2021,582,32,Adilabad,1562,1337,176,49,1514,48
16 Jan-22 Jan,16-01-2021,22-01-2021,320,20,Agar,646,492,141,13,646,0
23 Jan-29 Jan,23-01-2021,29-01-2021,320,20,Agar,1112,813,259,40,1112,0
30 Jan-05 Feb,30-01-2021,05-02-2021,320,20,Agar,257,185,59,13,257,0
06 Feb-12 Feb,06-02-2021,12-02-2021,320,20,Agar,1345,891,397,57,1345,0
13 Feb-19 Feb,13-02-2021,19-02-2021,320,20,Agar,471,315,127,29,470,1
20 Feb-26 Feb,20-02-2021,26-02-2021,320,20,Agar,902,664,210,28,253,649
27 Feb-05 Mar,27-02-2021,05-03-2021,320,20,Agar,657,345,144,168,267,390
06 Mar-12 Mar,06-03-2021,12-03-2021,320,20,Agar,1726,511,406,809,1136,590
13 Mar-19 Mar,13-03-2021,19-03-2021,320,20,Agar,5720,742,1089,3889,4829,891
20 Mar-26 Mar,20-03-2021,26-03-2021,320,20,Agar,5257,309,954,3994,4916,341
27 Mar-02 Apr,27-03-2021,02-04-2021,320,20,Agar,4041,109,2264,1668,3875,166
03 Apr-09 Apr,03-04-2021,09-04-2021,320,20,Agar,6885,102,4667,2116,6646,239
10 Apr-16 Apr,10-04-2021,16-04-2021,320,20,Agar,9771,124,6073,3574,9274,497
17 Apr-23 Apr,17-04-2021,23-04-2021,320,20,Agar,3731,111,2075,1545,2935,796
24 Apr-30 Apr,24-04-2021,30-04-2021,320,20,Agar,1775,133,822,820,826,949
01 May-07 May,01-05-2021,07-05-2021,320,20,Agar,2977,419,1185,1373,915,2062
08 May-14 May,08-05-2021,14-05-2021,320,20,Agar,2814,913,990,911,1371,1443
15 May-21 May,15-05-2021,21-05-2021,320,20,Agar,3646,2777,660,209,3325,321
22 May-28 May,22-05-2021,28-05-2021,320,20,Agar,6721,5566,916,239,6672,49
29 May-04 Jun,29-05-2021,04-06-2021,320,20,Agar,9512,8221,1003,288,9369,143
05 Jun-11 Jun,05-06-2021,11-06-2021,320,20,Agar,3132,2839,235,58,3038,94
16 Jan-22 Jan,16-01-2021,22-01-2021,622,34,Agra,2040,1380,598,62,2040,0
23 Jan-29 Jan,23-01-2021,29-01-2021,622,34,Agra,6327,4449,1540,338,6327,0
30 Jan-05 Feb,30-01-2021,05-02-2021,622,34,Agra,4192,2804,1265,123,4192,0
06 Feb-12 Feb,06-02-2021,12-02-2021,622,34,Agra,4333,2498,1806,29,4333,0
13 Feb-19 Feb,13-02-2021,19-02-2021,622,34,Agra,6302,4018,2093,191,4580,1722
20 Feb-26 Feb,20-02-2021,26-02-2021,622,34,Agra,10085,6892,2827,366,4888,5197
27 Feb-05 Mar,27-02-2021,05-03-2021,622,34,Agra,7339,2267,1640,3432,4917,2422
06 Mar-12 Mar,06-03-2021,12-03-2021,622,34,Agra,16991,2189,3305,11497,15030,1961
13 Mar-19 Mar,13-03-2021,19-03-2021,622,34,Agra,27285,4433,6703,16149,22429,4856
20 Mar-26 Mar,20-03-2021,26-03-2021,622,34,Agra,26331,4370,7327,14634,22531,3800
27 Mar-02 Apr,27-03-2021,02-04-2021,622,34,Agra,21856,1541,10928,9387,19821,2035
03 Apr-09 Apr,03-04-2021,09-04-2021,622,34,Agra,39456,1899,22310,15247,33801,5655
10 Apr-16 Apr,10-04-2021,16-04-2021,622,34,Agra,50894,1339,29102,20453,40879,10015
17 Apr-23 Apr,17-04-2021,23-04-2021,622,34,Agra,26911,1882,12888,12141,15465,11446
24 Apr-30 Apr,24-04-2021,30-04-2021,622,34,Agra,24658,1315,12439,10903,13670,10988
01 May-07 May,01-05-2021,07-05-2021,622,34,Agra,20048,1388,11244,7415,8470,11578
08 May-14 May,08-05-2021,14-05-2021,622,34,Agra,34425,17163,10778,6484,24101,10324
15 May-21 May,15-05-2021,21-05-2021,622,34,Agra,47088,33891,9660,3537,44392,2696
22 May-28 May,22-05-2021,28-05-2021,622,34,Agra,67252,54154,9711,3387,65704,1548
29 May-04 Jun,29-05-2021,04-06-2021,622,34,Agra,65942,47493,13498,4951,64454,1488
05 Jun-11 Jun,05-06-2021,11-06-2021,622,34,Agra,11414,7076,3246,1092,10953,461
16 Jan-22 Jan,16-01-2021,22-01-2021,154,11,Ahmedabad,1038,736,265,37,1038,0
23 Jan-29 Jan,23-01-2021,29-01-2021,154,11,Ahmedabad,3821,2654,1110,57,3821,0
30 Jan-05 Feb,30-01-2021,05-02-2021,154,11,Ahmedabad,4608,3565,1010,33,4608,0
